XCoord,YCoord,FID,OBJECTID,ED_ID,PD_NUMBER,PD_LABEL,ED_NAME_EN,ED_NAME_FR,SHAPE_LENG,SHAPE_AREA
1119365.29884595,5301710.79280671,72,37932,18.000000,6.000000,006,Chatham-Kent—Leamington,Chatham-Kent—Leamington,14847.843922,7673546.672290
1125286.29388635,5304299.55387790,73,37933,18.000000,14.000000,014,Chatham-Kent—Leamington,Chatham-Kent—Leamington,30678.408464,35697094.968400
1147487.50711130,5323014.21146205,74,37934,18.000000,16.000000,016,Chatham-Kent—Leamington,Chatham-Kent—Leamington,59106.427584,150865468.846000
1114667.76382237,5302385.88868510,75,37935,18.000000,4.000000,004,Chatham-Kent—Leamington,Chatham-Kent—Leamington,17491.135257,9952717.944790
1151499.01609147,5338876.86699837,76,37936,18.000000,41.000000,041,Chatham-Kent—Leamington,Chatham-Kent—Leamington,6240.567896,1165617.839070
1147794.57496176,5343113.40260510,77,37937,18.000000,25.000000,025,Chatham-Kent—Leamington,Chatham-Kent—Leamington,6464.146552,1172312.473840
1147444.25525024,5340283.45018378,78,37938,18.000000,21.000000,021,Chatham-Kent—Leamington,Chatham-Kent—Leamington,4132.661106,290170.724559
1150532.66480974,5339160.37540067,79,37939,18.000000,37.000000,037,Chatham-Kent—Leamington,Chatham-Kent—Leamington,6768.855980,1800129.842170
1148014.42229614,5340697.89936085,80,37940,18.000000,24.000000,024,Chatham-Kent—Leamington,Chatham-Kent—Leamington,3120.347071,97153.297784
1114589.78437964,5299464.22844967,81,37941,18.000000,5.000000,005,Chatham-Kent—Leamington,Chatham-Kent—Leamington,16521.932931,12463082.001300
1170142.99585111,5350447.08956929,82,37942,18.000000,51.000000,051,Chatham-Kent—Leamington,Chatham-Kent—Leamington,70807.455807,176424922.372000
1151426.97129422,5337182.79046383,83,37943,18.000000,40.000000,040,Chatham-Kent—Leamington,Chatham-Kent—Leamington,15781.354639,8229473.864130
1148402.04445996,5342535.74689799,84,37944,18.000000,404.000000,404,Chatham-Kent—Leamington,Chatham-Kent—Leamington,653.803640,20946.634243
1147529.00305587,5340374.11729452,85,37945,18.000000,402.000000,402,Chatham-Kent—Leamington,Chatham-Kent—Leamington,372.658438,8451.361193
1116594.62789251,5299105.56870507,86,37946,18.000000,703.000000,703,Chatham-Kent—Leamington,Chatham-Kent—Leamington,461.622354,11592.008685
1130005.03989628,5324792.34182890,87,37947,18.000000,712.000000,712,Chatham-Kent—Leamington,Chatham-Kent—Leamington,249.951481,3645.696963
1147870.53846855,5340435.02461744,88,37948,18.000000,715.000000,715,Chatham-Kent—Leamington,Chatham-Kent—Leamington,737.918391,29251.516209
1150420.31078623,5341305.59191152,89,37949,18.000000,721.000000,721,Chatham-Kent—Leamington,Chatham-Kent—Leamington,377.437883,7763.132575
1166415.11275807,5334637.33592073,90,37950,18.000000,724.000000,724,Chatham-Kent—Leamington,Chatham-Kent—Leamington,717.412916,22959.854994
